nama_site,kota_kabupaten,month,scope_of_work,actual_severity,predicted_severity,confidence_score,confidence_minor,confidence_major,top_factor_1,top_factor_2
kpn-07-123,kota malang,9,cbt,Minor,Minor,0.8,0.8,0.2,site_code,scope_of_work
byw-07-107,kabupaten banyuwangi,6,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
sby-07-596,kota surabaya,1,q3,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
mlg/07/138,kota malang,8,rns,Minor,Major,0.7,0.3,0.7,site_code,scope_of_work
mjy-07-054,kota/kab madiun,3,vw2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
knr-07-100,kota/kab blitar,5,gne,Minor,Major,0.92,0.08,0.92,site_code,scope_of_work
bdw-07-011,kabupaten bondowoso,4,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
bjn-07-025,kabupaten bojonegoro,4,gne,Minor,Minor,0.99,0.99,0.01,site_code,scope_of_work
mlg-07-038,kota malang,9,gne,Minor,Minor,0.73,0.73,0.27,site_code,scope_of_work
kdr/07/160,kota/kab kediri,7,gne,Minor,Minor,0.85,0.85,0.15,site_code,scope_of_work
mad/07/032,kota/kab madiun,7,m9,Major,Major,0.94,0.06,0.94,site_code,scope_of_work
mlg-07-128,kota malang,2,q3,Minor,Major,0.6875,0.3125,0.6875,site_code,scope_of_work
knr/07/106,kota/kab blitar,12,gns,Minor,Major,0.97,0.03,0.97,site_code,scope_of_work
sby-07-187,kota surabaya,11,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
bjn-07-068,kabupaten bojonegoro,11,gnp,Minor,Minor,0.79,0.79,0.21,site_code,scope_of_work
psr-07-129,kota/kab pasuruan,10,gns,Minor,Major,0.72,0.28,0.72,site_code,scope_of_work
ngw-07-039,kabupaten ngawi,8,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
sda-07-287,kabupaten sidoarjo,5,rne,Minor,Minor,0.64,0.64,0.36,site_code,scope_of_work
smp-07-071,kabupaten sumenep,3,vw3,Minor,Minor,0.89,0.89,0.11,site_code,scope_of_work
bkl-07-011,kabupaten bangkalan,2,m9,Major,Minor,0.64,0.64,0.36,site_code,scope_of_work
tbn-07-069,kabupaten tuban,5,m9,Minor,Major,1.0,0.0,1.0,site_code,scope_of_work
pmk-07-058,kabupaten pamekasan,1,q1,Minor,Minor,0.99,0.99,0.01,site_code,scope_of_work
jbg-07-113,kabupaten jombang,4,gne,Minor,Minor,0.79,0.79,0.21,site_code,scope_of_work
gsk/07/144,kabupaten gresik,7,rsh,Minor,Major,0.57,0.43,0.57,site_code,scope_of_work
knr-07-053,kota/kab blitar,2,q2,Minor,Minor,0.83,0.83,0.17,site_code,scope_of_work
